"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","S-Adenosyl-L-methionine","L-Methionine"
"38","S-Adenosyl-L-methionine","H+"
"39","S-Adenosyl-L-methionine","BIOT"
"40","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"41","S","L-Methionine"
"42","S","H+"
"43","S","BIOT"
"44","S","5'-Deoxyadenosine"
"45","Dethiobiotin","L-Methionine"
"46","Dethiobiotin","H+"
"47","Dethiobiotin","BIOT"
"48","Dethiobiotin","5'-Deoxyadenosine"
"49","Acetyl-CoA","CoA"
"50","Acetyl-CoA","O-Acetyl-L-serine"
"51","L-Serine","CoA"
"52","L-Serine","O-Acetyl-L-serine"
"53","ATP","CMP"
"54","ATP","H+"
"55","ATP","ADP"
"56","ATP","CDP"
"57","CMP","ATP"
"58","CMP","H+"
"59","CMP","ADP"
"60","CMP","CDP"
"61","H+","ATP"
"62","H+","CMP"
"63","H+","ADP"
"64","H+","CDP"
"65","ADP","ATP"
"66","ADP","CMP"
"67","ADP","H+"
"68","ADP","CDP"
"69","CDP","ATP"
"70","CDP","CMP"
"71","CDP","H+"
"72","CDP","ADP"
"73","H+","Fumarate"
"74","H+","Fumarate"
"75","Fumarate","H+"
"76","Fumarate","H+"
"77","H2O","H+"
"78","H2O","Methylenediurea"
"79","H2O","CO2"
"80","H2O","NH3"
"81","H2O","N-(Hydroxymethyl)urea"
"82","H+","H2O"
"83","H+","Methylenediurea"
"84","H+","CO2"
"85","H+","NH3"
"86","H+","N-(Hydroxymethyl)urea"
"87","Methylenediurea","H2O"
"88","Methylenediurea","H+"
"89","Methylenediurea","CO2"
"90","Methylenediurea","NH3"
"91","Methylenediurea","N-(Hydroxymethyl)urea"
"92","CO2","H2O"
"93","CO2","H+"
"94","CO2","Methylenediurea"
"95","CO2","NH3"
"96","CO2","N-(Hydroxymethyl)urea"
"97","NH3","H2O"
"98","NH3","H+"
"99","NH3","Methylenediurea"
"100","NH3","CO2"
"101","NH3","N-(Hydroxymethyl)urea"
"102","N-(Hydroxymethyl)urea","H2O"
"103","N-(Hydroxymethyl)urea","H+"
"104","N-(Hydroxymethyl)urea","Methylenediurea"
"105","N-(Hydroxymethyl)urea","CO2"
"106","N-(Hydroxymethyl)urea","NH3"
"107","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"108","UDP-N-acetylglucosamine","UDP"
"109","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"110","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"111","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"112","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"113","UDP","UDP-N-acetylglucosamine"
"114","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"115","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"116","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"117","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"118","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"119","H2O","Pyruvate"
"120","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"121","Isochorismate","Pyruvate"
