"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","S-Adenosyl-L-methionine","L-Methionine"
"26","S-Adenosyl-L-methionine","H+"
"27","S-Adenosyl-L-methionine","BIOT"
"28","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"29","S","L-Methionine"
"30","S","H+"
"31","S","BIOT"
"32","S","5'-Deoxyadenosine"
"33","Dethiobiotin","L-Methionine"
"34","Dethiobiotin","H+"
"35","Dethiobiotin","BIOT"
"36","Dethiobiotin","5'-Deoxyadenosine"
"37","H2O","LacCer"
"38","H2O","Galactose"
"39","H2O","Glucocerebroside"
"40","LacCer","H2O"
"41","LacCer","Galactose"
"42","LacCer","Glucocerebroside"
"43","Galactose","H2O"
"44","Galactose","LacCer"
"45","Galactose","Glucocerebroside"
"46","Glucocerebroside","H2O"
"47","Glucocerebroside","LacCer"
"48","Glucocerebroside","Galactose"
"49","Acetyl-CoA","CoA"
"50","Acetyl-CoA","O-Acetyl-L-serine"
"51","L-Serine","CoA"
"52","L-Serine","O-Acetyl-L-serine"
"53","ATP","CMP"
"54","ATP","H+"
"55","ATP","ADP"
"56","ATP","CDP"
"57","CMP","ATP"
"58","CMP","H+"
"59","CMP","ADP"
"60","CMP","CDP"
"61","H+","ATP"
"62","H+","CMP"
"63","H+","ADP"
"64","H+","CDP"
"65","ADP","ATP"
"66","ADP","CMP"
"67","ADP","H+"
"68","ADP","CDP"
"69","CDP","ATP"
"70","CDP","CMP"
"71","CDP","H+"
"72","CDP","ADP"
"73","H+","Fumarate"
"74","H+","Fumarate"
"75","Fumarate","H+"
"76","Fumarate","H+"
"77","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"78","UDP-N-acetylglucosamine","UDP"
"79","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"81","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"82","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"83","UDP","UDP-N-acetylglucosamine"
"84","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"85","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"87","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"89","H2O","Pyruvate"
"90","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"91","Isochorismate","Pyruvate"
"92","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"93","ATP","PPi"
"94","ATP","AMP"
"95","ATP","fa6coa"
"96","CoA","PPi"
"97","CoA","AMP"
"98","CoA","fa6coa"
"99","fa6","PPi"
"100","fa6","AMP"
"101","fa6","fa6coa"
"102","ATP","ADP"
"103","ATP","Phosphate"
"104","ATP","H+"
"105","ATP","gamma-Glutamylcysteine"
"106","L-Glutamate","ADP"
"107","L-Glutamate","Phosphate"
"108","L-Glutamate","H+"
"109","L-Glutamate","gamma-Glutamylcysteine"
"110","L-Cysteine","ADP"
"111","L-Cysteine","Phosphate"
"112","L-Cysteine","H+"
"113","L-Cysteine","gamma-Glutamylcysteine"
"114","ATP","dCDP"
"115","ATP","ADP"
"116","ATP","dCTP"
"117","dCDP","ATP"
"118","dCDP","ADP"
"119","dCDP","dCTP"
"120","ADP","ATP"
"121","ADP","dCDP"
"122","ADP","dCTP"
"123","dCTP","ATP"
"124","dCTP","dCDP"
"125","dCTP","ADP"
"126","H+","Nitrite"
"127","H+","Nitrite"
"128","Nitrite","H+"
"129","Nitrite","H+"
"130","Lipoamide","2-Hydroxyethyl-ThPP"
"131","Lipoamide","TPP"
"132","Lipoamide","S-Acetyldihydrolipoamide"
"133","2-Hydroxyethyl-ThPP","Lipoamide"
"134","2-Hydroxyethyl-ThPP","TPP"
"135","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
