"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","H+","Adenosine"
"38","H+","Adenosine"
"39","Adenosine","H+"
"40","Adenosine","H+"
"41","Acetyl-CoA","CoA"
"42","Acetyl-CoA","O-Acetyl-L-serine"
"43","L-Serine","CoA"
"44","L-Serine","O-Acetyl-L-serine"
"45","ATP","CMP"
"46","ATP","H+"
"47","ATP","ADP"
"48","ATP","CDP"
"49","CMP","ATP"
"50","CMP","H+"
"51","CMP","ADP"
"52","CMP","CDP"
"53","H+","ATP"
"54","H+","CMP"
"55","H+","ADP"
"56","H+","CDP"
"57","ADP","ATP"
"58","ADP","CMP"
"59","ADP","H+"
"60","ADP","CDP"
"61","CDP","ATP"
"62","CDP","CMP"
"63","CDP","H+"
"64","CDP","ADP"
"65","H+","Fumarate"
"66","H+","Fumarate"
"67","Fumarate","H+"
"68","Fumarate","H+"
"69","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"70","UDP-N-acetylglucosamine","UDP"
"71","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"72","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"73","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"74","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"75","UDP","UDP-N-acetylglucosamine"
"76","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"77","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"78","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"79","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"81","H2O","Pyruvate"
"82","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"83","Isochorismate","Pyruvate"
"84","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"85","ATP","PPi"
"86","ATP","AMP"
"87","ATP","fa6coa"
"88","CoA","PPi"
"89","CoA","AMP"
"90","CoA","fa6coa"
"91","fa6","PPi"
"92","fa6","AMP"
"93","fa6","fa6coa"
"94","ATP","ADP"
"95","ATP","Phosphate"
"96","ATP","H+"
"97","ATP","gamma-Glutamylcysteine"
"98","L-Glutamate","ADP"
"99","L-Glutamate","Phosphate"
"100","L-Glutamate","H+"
"101","L-Glutamate","gamma-Glutamylcysteine"
"102","L-Cysteine","ADP"
"103","L-Cysteine","Phosphate"
"104","L-Cysteine","H+"
"105","L-Cysteine","gamma-Glutamylcysteine"
"106","ATP","dCDP"
"107","ATP","ADP"
"108","ATP","dCTP"
"109","dCDP","ATP"
"110","dCDP","ADP"
"111","dCDP","dCTP"
"112","ADP","ATP"
"113","ADP","dCDP"
"114","ADP","dCTP"
"115","dCTP","ATP"
"116","dCTP","dCDP"
"117","dCTP","ADP"
"118","ATP","ADP"
"119","ATP","CO2"
"120","ATP","Phosphoenolpyruvate"
"121","Oxaloacetate","ADP"
"122","Oxaloacetate","CO2"
"123","Oxaloacetate","Phosphoenolpyruvate"
"124","Lipoamide","2-Hydroxyethyl-ThPP"
"125","Lipoamide","TPP"
"126","Lipoamide","S-Acetyldihydrolipoamide"
