"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","ATP","ADP"
"8","ATP","Phosphate"
"9","ATP","GSH"
"10","ATP","H+"
"11","Glycine","ADP"
"12","Glycine","Phosphate"
"13","Glycine","GSH"
"14","Glycine","H+"
"15","gamma-Glutamylcysteine","ADP"
"16","gamma-Glutamylcysteine","Phosphate"
"17","gamma-Glutamylcysteine","GSH"
"18","gamma-Glutamylcysteine","H+"
"19","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"20","Lipoamide","TPP"
"21","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"22","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"23","2-Methyl-1-hydroxypropyl-TPP","TPP"
"24","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"25","TPP","Lipoamide"
"26","TPP","2-Methyl-1-hydroxypropyl-TPP"
"27","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"28","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"29","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"30","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"31","PRPP","PPi"
"32","PRPP","H+"
"33","PRPP","IMP"
"34","HYXN","PPi"
"35","HYXN","H+"
"36","HYXN","IMP"
"37","H+","Adenosine"
"38","H+","Adenosine"
"39","Adenosine","H+"
"40","Adenosine","H+"
"41","H2O","LacCer"
"42","H2O","Galactose"
"43","H2O","Glucocerebroside"
"44","LacCer","H2O"
"45","LacCer","Galactose"
"46","LacCer","Glucocerebroside"
"47","Galactose","H2O"
"48","Galactose","LacCer"
"49","Galactose","Glucocerebroside"
"50","Glucocerebroside","H2O"
"51","Glucocerebroside","LacCer"
"52","Glucocerebroside","Galactose"
"53","Acetyl-CoA","CoA"
"54","Acetyl-CoA","O-Acetyl-L-serine"
"55","L-Serine","CoA"
"56","L-Serine","O-Acetyl-L-serine"
"57","ATP","CMP"
"58","ATP","H+"
"59","ATP","ADP"
"60","ATP","CDP"
"61","CMP","ATP"
"62","CMP","H+"
"63","CMP","ADP"
"64","CMP","CDP"
"65","H+","ATP"
"66","H+","CMP"
"67","H+","ADP"
"68","H+","CDP"
"69","ADP","ATP"
"70","ADP","CMP"
"71","ADP","H+"
"72","ADP","CDP"
"73","CDP","ATP"
"74","CDP","CMP"
"75","CDP","H+"
"76","CDP","ADP"
"77","H+","Fumarate"
"78","H+","Fumarate"
"79","Fumarate","H+"
"80","Fumarate","H+"
"81","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"82","UDP-N-acetylglucosamine","UDP"
"83","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"84","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"85","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"87","UDP","UDP-N-acetylglucosamine"
"88","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"89","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"90","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"91","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"92","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"93","ATP","PPi"
"94","ATP","AMP"
"95","ATP","fa6coa"
"96","CoA","PPi"
"97","CoA","AMP"
"98","CoA","fa6coa"
"99","fa6","PPi"
"100","fa6","AMP"
"101","fa6","fa6coa"
"102","NADH","NAD"
"103","NADH","7-methyl-octanoyl-ACP"
"104","H+","NAD"
"105","H+","7-methyl-octanoyl-ACP"
"106","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"107","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"108","ATP","dCDP"
"109","ATP","ADP"
"110","ATP","dCTP"
"111","dCDP","ATP"
"112","dCDP","ADP"
"113","dCDP","dCTP"
"114","ADP","ATP"
"115","ADP","dCDP"
"116","ADP","dCTP"
"117","dCTP","ATP"
"118","dCTP","dCDP"
"119","dCTP","ADP"
"120","ATP","ADP"
"121","ATP","CO2"
"122","ATP","Phosphoenolpyruvate"
"123","Oxaloacetate","ADP"
"124","Oxaloacetate","CO2"
"125","Oxaloacetate","Phosphoenolpyruvate"
"126","Lipoamide","2-Hydroxyethyl-ThPP"
"127","Lipoamide","TPP"
"128","Lipoamide","S-Acetyldihydrolipoamide"
